6,还没用，等用了再来追评吧,,,
18,太小，一个胶囊都装不下。,,,
22,本来是看中沁园的牌子买了这个净水龙头，装上以后自来水的原水TDS值205，净水的TDS值变成212，用了几天测还是这样，那我装上个净水龙头有啥用,,,
30,，有生姜味，但数码条被其他的粘住了,,,
45,与图片效果不同，布是棉的，不是丝织品，不诱惑,,,
47,要得要得要得,,,
65,不是想要的颜色。。。。。,,,
68,根本没有包装，也没用保鲜膜泡沫什么的包一下，箱子里面都是沐浴露,,,
81,好的不要不要的,,,
82,圓通快递差差差,,,
95,还没试用不知好不好本来是299结果给我开发票只开了800其他都还可以用过在来评价,,,
105,实物比想象中大多了,,,
110,连个加热器都不带 怎么用 差差差,,,
116,买来放着备用，拆拆水管什么的,,,
117,(?&acute;з(&acute;&omega;`*)?世界和平,,,
139,用了几天才来评价，机子没问题！奔姐生意兴隆！[追评],,,
150,我申请了发票的，为什么没有给我寄发票在里面,,,
151,还没使用，不知效果怎么样！,,,
154,一点用都没有，就一盏灯,,,
156,么有任何感觉,,,
169,就是有点缩水,,,
179,噪音太大！实在太大！非常想退货，但不知道瓶子装上去以后还能不能退？！,,,
195,和在商场买的是一样的,,,
208,年前买的**，过了2月**,,,
213,没有资源没什么用，我都两个了。,,,
219,用了两次就没咋用，和香皂一起买了3样，那两个没效果就没用了,,,
226,是等会员那张开门店名次日哦,,,
230,辣鸡线，,,,
231,(*?︶?*,,,
232,元旦的价格不及本月11号的抢购，有点让人心寒，多花二百大洋，哎，东东同学，你是咋想的，是想告诉我们所谓促销日都是假象吗？,,,
233,我就问一句，什么时候来装？？水管根本接不上！！客服什么态度！！竟然挂电话，客服号1575的女彪子,,,
235,买完还有邮递，就降价。我去,,,
239,一直这种的，但这次的到六月份就到期了，买了两瓶怕是用不完了,,,
250,我买的美的三冂冰霜订购价*，送到收了我*，这是什么意思呢？,,,
253,一般见识？,,,
254,吹热风，,,,
264,这个使用后没有任何效果！丢角落了,,,
271,刚吃不知道效果怎么样，商家发的邮局快递慢死了,,,
278,感觉太大了,,,
281,很辣雞哈哈哈加油及啊就啊就啊就啊就啊,,,
286,噪音太大！！！,,,
288,是我期待中的样子,,,
290,。。。。。。。。。,,,
300,只有瓶子一半的量。。。。。,,,
302,有点儿噪音，,,,
303,哈哈哈哈哈哈哈哈哈哈哈哈哈,,,
306,不吸水，毛巾小,,,
313,一股酒精味 赠品一股酒精味,,,
317,商品外包装没有挤出洗发水的喷头,,,
329,这次买的不如意！！！！,,,
338,质量比39那款感觉要好。,,,
345,给女朋友买的，她说好，那就是真的好,,,
353,没有送,,,
358,我有齐腰长发，洗后头发不再像干草。,,,
359,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,,,
368,面积太小,,,
390,带了配件剪毛  就剪不下来了,,,
403,还没用,,,
404,不建议购买。,,,
411,没送，为什么没送？,,,
438,怎么这么多评价啊，弄半天也没有完,,,
450,晨光（M&amp;G）HAGR0231 筒装中性笔芯0.35mm 12支装 黑色外壳颜色随机,,,
451,还没用了半个月，彻底拜拜了，也是醉了。</br>,,,
453,不知道是不是纯蜂蜜，不结晶。,,,
460,现在未用，用了再评,,,
465,&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;,,,
473,今天刚收到，还没用，用后追评。,,,
499,看看..........................,,,
503,没有发货给我。骗子。,,,
506,每天早上的早餐就蒸蛋,,,
508,是一种颜色银色，为婆婆一起为婆婆自我热一下破哦,,,
521,暂时未用，只是看着包装评价。送到时，外包盒是两头开口，取出商品是，盒子不成样子。没有封口，产自德国。不知道怎么看生产日期？,,,
524,。手机买了半个月充电器头没用了。叫客服给我换，一开始还会理我。现在。呵呵。笑了。辣。。鸡店铺,,,
534,这个真心不怎么的就，，，，，,,,
538,第二次购买了，一分钱一分货。,,,
545,没什么用。还会搓泥。,,,
548,第一次试用着不太习惯，还有点漏水,,,
558,具体的效果还没看到，再等等吧！,,,
561,还没用，用了在来吧,,,
566,我根本就没签收，东西都没看到,,,
567,洗不走的………………,,,
569,老牌子了，家里一直用这个牌子,,,
584,年轻的时候在用，现在只能是用来怀念了，那时候化妆品作用真是不大,,,
596,了吗来了吗来了吗嗯，,,,
607,能充上电呵呵有需要会再来的,,,
621,我是真的好像都江堰水利工程一,,,
624,老妈想要大屏，就买了，才不是SNH48.,,,
632,镜片上有个黑点！！！还是擦不掉的。,,,
646,没有外包装，不能确定是否为新品,,,
687,太阳雨,,,
688,小、,,,
691,发票在哪里,,,
699,待用中！！！,,,
703,恍恍惚惚恍恍惚惚恍恍惚惚,,,
710,没什么心得我不用不知道什么感觉,,,
711,哎  我在怀疑你那三颗按钮是装饰品  并没有什么卵用,,,
714,帮别人下单的，不知效果如何,,,
720,本了给客服沟通要求换颜色，也答应换了，结果收到货还是没换来,,,
