1,比黑人碳头牙刷好用?
2,比之前坏的要好些，亮一些。
3,质量很好 用着很舒服 感觉有点小贵啊
4,发货速度很快，东西收到后基本上和描述的没什么差别，质量还行，比较实用，就是感觉有点渣脚，上面的硬塑料设计不够光滑希望厂家能够改进。
5,1、每星期至少两次掉线，一天重启几次也正常；2、5G已坏。
6,从中学一直在用的，质量好
7,此产品太差劲了，没有任何内包装，直接放在盒子里就过来了。铅笔也是打开过多次，已经很久了的样子。必须差评！
8,色粉笔也太贵了吧，而且包装也有些旧了，后悔买啊，早知到上实品店买
9,买了跟老公一人一个，用下来还不错，比较静音，充满电能用半个月。
10,亚马逊自营的东西是正品，一贯都不错，东西好坏是产品本身的事情。
11,气味清香，洗衣洁净。
12,中间有几页排版有问题 有的字看不到
13,方便，可挂脖上，当项链了。
14,产品挺软，不过孩子更喜欢自己手指头。一星是因为快递很差劲，老公让快递员联系我送到家，结果联系我还是让自己去大门口取，我依然因为在家看孩子走不开。快递员自己签收这个事，很过分。
15,4g移动卡，插进去居然没任何反应，不建议购买
16,袜子质量很不错，很满意，这个价格很值。
17,建议看原版 难怪在欧洲销量排行第一的书在中国卖不好. 首先书名翻译的就有问题。第一人称是Lou。Lou要Will好好的？ 我想译者是说Will要Lou 好好的吧。 但通篇都是Lou的视角，你书名让WIll说合适么？Me before you是Lou表示她再遇到Will前的生活与之后的生活的差别。
18,考试内容为0 最新题库 里面没有 一道题没有
19,rt，搞个驱动太麻烦，烦死
20,卖了6瓶，没有一瓶不漏的，都是盖子裂开。
21,1。现在一直还在用。。
22,发过来的是老包装，但是与在商场买的效果不一样，之前一直用的挺好的，包装不一样效果也不一样吗？
23,1. 收到货以后内部包装盒上的防伪标签是破损的； 2. 口罩本身有刺鼻的塑料气味； 3. 口罩呼吸阀上的3M商标字样可以轻易擦掉； 4. 戴上口罩后仍然能明确的闻到外界的粉尘和其他气味；
24,用了一周，主要当无线路由（静态ip）用的，工作时间连台式机和手机。1天9个小时，平均2天观察到掉线一次，基本稳定，也不热。比较奇怪的是，192.168.1.253时不时的访问困难。 切换工作模式的开关很实用。
25,好东西，绝对物有所值！拿回来三天到四天就可以装茶叶了，一点异味都没有！
26,速度没有广告的那么大，实际测量应该是38
27,我买的亚马逊直营，但是送来的外包装上是北京四海致祥国际商贸，看不懂。
28,买了后，发现公司不能热饭了，就一直没用过，不知道是否漏水
29,很好用，是正品，后悔只买了一组，唇膏比较润颜色也好看，睫毛膏是属于纤长型没有苍蝇腿
30,iFrogz 爱蛙 音效很不错，价格很实惠。
31,性价比高，速度很快，用在老机器400D上，相当不错。
32,味道闻起来有些怪，和我曾经在宠物店里买的不大一样。狗狗也不爱吃
33,还没使用，不过相信狮王的应该会不错
34,非常柔软，后来用苏菲感觉出来这个真是柔软，苏菲真是硬啊
35,第一次自己装路由器，按照说明书一步步操作弄了一个小时弄好。信号还不错，就是有时候明明看着信号满格但连不上网不知道为什么，暂时还没发现什么大问题。发货慢了点，但送货很快，刚好赶在预计送达日期送到了。
36,慎重购买，没有你想象那么好。
37,音质还不错，不好的是色彩反搭配不是很好
38,包装很可爱 香味甜甜的 滋润还是差了点点
39,没有味道，没有毛刺，宝宝两岁半，超喜欢，已经能自己搭出不少东西了
40,没有想象中的好，还真是一分钱一分货
41,4岁半女宝，大小合适。粉红色甜美可爱。还送了一个枚红色小挎包，女儿很喜欢。
42,颜色不是白色 像旧物发黄一样 还没试用 希望能弥补下缺憾
43,包装简陋，液体流出，味道难闻！…而且物流根本没有按照要求时间送
44,买的是16G的内存卡，货到了后，打开用电脑看，只有14G。卓越，别拿消费者信任当玩笑。
45,之前购买几次此款狗粮，挺满意。宠物进口好货259-100 活动一次定下3袋结果让人很触目惊心，打开一袋里面很多小虫，已经成功退货。
46,不错的书，朋友推荐的，我买来送好友的生日礼物
47,大品牌，质量值得信赖。
48,谁买谁后悔一辈子。这样的味道让人无法接受，根本不能说好，太恶心直接丢掉。小瓶子是塑料包装想想谁会这么弄油到处流。不要买啦。我第一次这么评价，真心让店家好好在石林地区卖吧。
49,质量一般般，密封不了
50,这支笔太适合我了， 好画不晕染， 非常黑， 我更喜欢棕色的
51,也没有什么纸盒子，就一图片上的塑料袋，里面装着6只，有个合格证~
52,不错，光柔和不刺眼，质量很好很上档次。
53,不滋润，涂了依旧很干，不好
54,难得海外购，价格还行，不是很适合炼字，笔尖有点细，换墨水囊要小心，别怼坏了。
55,第一次在这买东西，还是说下感受。首先，快递速度值得赞。包裹还是很完整。但是一打开拿出东西看到就有点失望了。盒子盖子被撕开了一半，包装太烂了。难道真的是国货的原因?
56,恩………………其实当初还有有那么点失望…………但是总的来说还算不错…………书质量很好，内容删减了丁点
57,就是塑料的 用的时候不敢使劲啊
58,睡一晚上位置就会变，有固定的带子也没用。
59,梳子用着很好，就是寄过来表面有些划痕
60,与原来想象的有一定差距1有点小了2保温不如玻璃胆。
61,故事情节，过份简单。
62,反正我不喜欢。。。。
63,有小失望，还不如以前有的胡萝卜水光胶呢？
64,很一般，基本没看出什么效果
65,来得商品与商家提供的图片明显不符，真是浪费时间，浪费心情，买的的时候要注意！
66,我收到的只有7ml装的，特别小
67,大舌音练不会买啥口袋书都是白瞎啊！
68,看起来和以前的一样，还没有使用。
69,书页像受潮了一样，皱皱巴巴的，还有明显磨损的痕迹，joyo现在选书怎么越来越不注意质量了！！
70,垃圾，垃圾中的战斗机
71,139的价钱和商场3，300价钱买的质量差不多，挺好的东西。
72,很不错，只是没有袖~~~
73,还可以，就是和之前买的不太一样，包装好像换新的了
74,材质不是特别硬，也不是特别软，比较舒服，用一段再继续评论
75,就喜欢日货，不服不行。
76,这个价格波动也没谁了，买了就降价！在官网买到都有附赠小样套装，这个完全没有。而且物流不是一般慢，擦完之后皮肤还变暗沉了。好后悔购买，价格比官网贵，还一天一个价，你至少有点效果啊，最后效果有了是皮肤暗沉了超级油了
77,价格不便宜，主要是里面有生锈的痕迹，直接退了
78,发热不均匀不说，用几个小时后，里面的粉末全垮到下面了，我上网查了一下正品和假货的比较方法，假货的每一条都符合，大家都别买这个！比如包装袋、内包装的四角设计等等，亏死我了，不知道怎么处理这个了
79,内容过于简单，小孩不感兴趣。
80,东西不错，杯口略有瑕疵。这个价位不应该。
81,东西不错，安装有点麻烦
82,其实里面的图片很好看不是么？有谁知道那些图片的出处？
83,"震动的挺厉害的,但不厉害就没什么效果了, 用了,很舒服,"
84,送货很快，狗粮有防伪。只是快递走后，才发现装狗粮的大盒子很软，像受了潮一样。侧面破了一个很大的口子，把手连胳膊伸进去都很容易。有不舒服。幸好，同时送来的防晒产品在里面。
85,439元买的，价格实惠，就是快递员态度嚣张，影响心情
86,真的挺好用，包装什么的都很正规，质地轻盈，滋润不油腻，无味，用的很好。
87,充一次电能持续很短时间，而且按键不好用，声音键没有反应，其他键设计的很2，整个机身，抓哪里都会有反应，没法拿
88,卓越，听朋友说过很多次，快又正。可惜，我运气不好，第一次定购尼玛老不发货。难道你的服务器在国外，老外不给你数据，那只能说你中方的也太窝囊了。。。东西还没收到，不做评价。看了很多评论，只想告诉那些选择黑冰系列的朋友，可以说留下指纹是黑冰的一个特点，别去纠结，擦擦更健康。呵呵。
89,亚马逊太不注重隐私了，就用个半透明的塑料袋包装送货，一看就知道买的套套，让别人看了多尴尬，让小女子情何以堪
90,我家狗狗不会玩，狗狗没兴趣
91,可以，带加热，处了有些疼以外都不错。五星。
92,不错，牙齿真的变白了~ 粉状，闻起来就是牙膏的味道 要坚持用，才是最重要的 但是用完洁牙粉，我会再用牙膏刷一遍，怕洁牙粉没有防蛀的作用 牙膏刷完，嘴巴香香的；洁牙粉刷好，没味道的 洁牙粉不能刷得太长，不然嘴巴里面的肉肉有瑟瑟的感觉 可能刚开始用不习惯，用了一阵子，就没了 不错，我喜欢~
93,很不错的抽油烟机，因为家里的旧机器要换，这个尺寸宽度刚好合适，价格也不贵，服务超级好，21日下单，25日到货，顺丰的小伙子帮忙送到了4楼，当天预约安装，第二天一早售后就打电话来说上门安装，中午已经可以用上新的了，超级开心的一次购物，家里的煤气灶也是樱花的，喜欢，樱花值得信赖！
94,备份、共享收据，很好用。边充电边使用
95,大小很合适，但是衣服超级长，我一米八穿M号这衣服都能遮住屁股了，不过再买小一号上身就太紧了，好尴尬。不过洗了几次之后明显缩水，但还是有点大的。
96,有点香味，用起来还不错的
97,厚实，不掉毛，吸水性强。强烈推荐。
98,主机和子机的天线都得拨到最高才行，否则噪音大得没法用。基本上别指望有什么移动性了。 另外子机经常取不到线。
99,狗狗嘴叼不怎么喜欢 我闻着挺香的
100,狗狗从小就吃宝路，而且只喜欢鸡肉味的，现在8岁了必须改吃大龄犬狗粮，先混合着鸡肉味的成犬粮过渡一下，比起超市便宜了一点，关键是很方便。
101,内容比较简单，排版字体很大，间距很宽，不值那个价钱
102,入门级应该还是可以的，价钱也不贵
103,老妈和老婆用了后都说很假，第一、洗完头发味道很臭；第二、洗完头皮很痒；第三、同家乐福、欧尚、人人乐等超市里买的不一样
104,直接麻醉，导致无法勃起
105,虽然和想象的不一样，但用起来还好
106,"一般吧,音乐种类比较杂,只能随便听听。"
107,用了一年才来评价，看上去很大气，但椅垫部分用久了弹性不够，坐在上面可以感觉到椅垫骨架；升降高度有限，腿放不直；整体向右倾斜。买家具还是得实地体验才行！
108,包装很好，圆枕的设计用料做工都不错，秒杀价比较合适，建议印一本小册子，教人如何使用就更好了。
109,全五星.刚开始看评论担心发错号.结果一个也没发错.断了一个笔头不影响.非常不错.天猫总是断货.便宜11块钱吧.但是发货慢.还是选亚马逊吧
110,活动买的。因为今年梅雨季历时太长，家里居然长了霉斑。用了这个有些效果，但味道大，特别是向上或斜上喷射会被呛到。其他有朋友使用最好做一下相关防护，渗入皮肤或呼吸吸入对人体都是不利的。
111,都结块了，也不知道是不是因为天气的缘故，希望以后避免此类情况发生。
112,一个保温杯，漏水，还有什么价值，拿掉盖子的档位和出水的档位没问题，关闭出水的时候，怎么拧都漏水，号称运动款只能办公室当茶杯了
113,商品挺好日本寄过来的 中国制造 那个郁闷 好的产品为什么一定要出口转内销呢
114,拿到手没有塑封，开盖发现里面没有封口，扫码之类的防伪也没有，没法辨认真假。 另外如果买贵了，是没有价格保护的，而且不支持退货，这一点很不好。
115,主要是考虑塑料杯子不好消毒，所以选择不锈钢，里边不锈钢内胆可以拿出来，单独消毒。质量很好，做工很棒，孩子很喜欢。
116,5分怕你太骄傲，应该再炒老一点，很多没裂开，咬得我牙疼……盐么刚刚好，不过是不是再多放一点点？
117,什么玩意跟图片不符，图片看着挺肥的到了一看我穿都瘦，老人穿更穿不了了，一点都不舒服
118,还没试过，不过外形还可以
119,过滤棉漏碳，这点太要命了，这还能是饮用水么？而且还不少，洗了也没用，一甩全是黑水……过滤网已拆，不知道水泵能撑多久，但愿别过两天就坏了。
120,买了好几罐了，我家孕猫很是喜欢，每天犯奶瘾等着我喂，不错不错
121,包装非常好，一点没有破损。相框质量也很好！
122,内容很多，泛泛而谈，没有深度，又一本神马书。
123,纱布材质不错，刚生育后用来束腹，后来做成尿布，吸水尚可，宝宝没有红屁股之类的
